Smiles,Molecular Weight,AlogP,#RO5 Violations,pIC50
CC(C)c1nn(CC(=O)Nc2ncc3nc[nH]c3n2)c(=O)c2ccc(C(F)(F)F)cc12,431.38,2.84,0.0,7.619788758288394
CC(C)c1nn(CC(=O)Nc2ccc3nncn3c2)c(=O)c2cc3ccccc3n12,401.43,2.45,0.0,7.619788758288394
CC(C)c1nn(CC(=O)N[C@H]2C[C@](C)(O)C2)c(=O)c2ccc(Br)cc12,408.3,2.31,0.0,7.6020599913279625
CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(F)c1,403.46,5.04,1.0,7.6020599913279625
CC(C)(O)c1coc(S(=O)(=O)[N-]C(=O)Nc2c3c(cc4c2CCC4)CCC3)c1.[Na+],426.47,2.99,0.0,7.552841968657781
CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccc(F)c(F)c1,421.45,5.18,1.0,7.552841968657781
Cc1c(-c2ccc3c(c2O)CCC3)nnc2c1OCCN2[C@@H]1CCCC[C@H]1O.O=C(O)C(F)(F)F,495.5,3.15,0.0,7.5376020021010435
CCOC(=O)[C@@H](Cc1cnccn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,394.48,2.75,0.0,7.522878745280337
CCOC(=O)[C@@H](Cc1ncccn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,394.48,2.75,0.0,7.481486060122112
CCOc1cc(C(=O)N(C)Cc2ccc(F)c3cn[nH]c23)ccc1-c1cccc(F)c1,421.45,5.18,1.0,7.481486060122112
N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(C#N)cc1,405.48,3.58,0.0,7.468521082957745
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccccc1,356.45,3.17,0.0,7.455931955649724
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCN(S(C)(=O)=O)CC2)co1,525.53,1.69,1.0,7.443697499232712
N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccnc1,381.46,3.1,0.0,7.440093374963888
CS(C)(=O)=Nc1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,453.61,3.6,0.0,7.437707135543525
CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3sc(Cl)cc3n12,408.91,2.78,0.0,7.42712839779952
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,405.48,2.39,0.0,7.421360790031928
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCOCC2)co1,434.4,2.05,0.0,7.42021640338319
CC(C)n1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,388.49,2.95,0.0,7.403402904373539
CN(C)Cc1cc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)nn1C1CC1,443.57,2.77,0.0,7.3979400086720375
C[C@@H]1CCc2c1nc1c(c2NC(=O)N=[S+]2([O-])NC(=O)c3ccc(C(C)(C)O)cc32)CCC1,454.55,3.56,0.0,7.3979400086720375
CC(C)c1cc(-c2cccc3ccccc23)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1ccc(CN(C)C)cc1,542.75,6.86,2.0,7.3979400086720375
N[S+]([O-])(=NC(=O)Nc1c2c(nc(C(F)(F)F)c1C1CC1)CCC2)c1nn(C2CC2)cc1F,472.47,4.07,0.0,7.394694953858891
CC(C)n1nc(CC(=O)Nc2ccc3c(c2)[nH]c(=O)n3C)c(=O)c2ccc(Br)cc21,470.33,3.1,0.0,7.376750709602099
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCCC2)co1,432.42,3.21,0.0,7.376750709602099
N[S+]([O-])(=NC(=O)Nc1c2c(nc(C3CC3)c1C1CC1)CCC2)c1nn(C2CC2)cc1F,444.54,3.93,0.0,7.367542707815276
CCc1nn(CC(=O)Nc2cccc(O)c2)c(=O)c2cc3sccc3n12,368.42,2.62,0.0,7.366531544420414
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)c4cnc(Cl)cc4Cl)C(=C)[C@@H]3C[C@H]12,422.31,4.78,0.0,7.347077112432058
CC(C)n1nc(CC(=O)Nc2ccncn2)c(=O)c2ccc(Br)cc21,402.25,2.71,0.0,7.337242168318426
CN(C)S(=O)(=O)NC(=O)c1coc(Nc2c3c(cc4c2CCC4)CCC3)n1,390.46,1.93,0.0,7.318758762624412
CN(C)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nsnc12,457.58,3.25,0.0,7.309803919971486
CN(C)S(=O)(=O)NC(=O)c1cnc(Nc2c3c(cc4c2CCC4)CCC3)o1,390.47,1.93,0.0,7.301029995663981
CC(C)c1nc2c(C(C)C)nn(CC(=O)Nc3ccc4nncn4c3)c(=O)c2s1,411.49,2.78,0.0,7.301029995663981
CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(C(F)(F)F)c1,453.46,5.92,1.0,7.2839966563652006
Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)C)co1,392.36,2.28,0.0,7.275724130399211
O=C(CN1C(=O)c2ccc(Br)c(F)c2C2(CC2)C1=O)Nc1ncc(Cl)cn1,453.66,2.68,0.0,7.259637310505756
O=C(Cc1ccc2cc[nH]c2c1)Nc1cccc(O)c1,266.3,3.05,0.0,7.236572006437063
CN(C)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nonc12,441.51,2.78,0.0,7.221848749616356
CSc1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nonc12,444.54,3.43,0.0,7.214670164989233
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,402.48,2.15,0.0,7.200659450546418
Cc1ccc(C(C)(C)C)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)C)co1,380.47,2.56,0.0,7.180456064458132
O=C(Nc1c2c(cc3c1CCC3)CCC2)O[C@H](Cc1ncccn1)C(=O)O,367.41,2.7,0.0,7.180456064458132
CC(=O)N1CCCN(S(=O)(=O)NC(=O)c2coc(Nc3cc(C(F)(F)F)ccc3C)n2)CC1,489.48,2.27,0.0,7.180456064458132
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3scnc3n12,388.5,1.44,0.0,7.167491087293763
CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12,367.43,2.87,0.0,7.161150909262744
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1cccs1,388.51,3.85,0.0,7.154901959985743
CC(C)c1cc2c(=O)n(CC(=O)N[C@@H]3CCCN(C4CCC4)C3)nc(C(C)C)n2c1,413.57,2.88,0.0,7.154901959985743
Cc1csc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,403.53,3.55,0.0,7.119186407719209
CCS(=O)(=O)Cc1csc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,495.65,3.18,0.0,7.102372908709558
CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(C#N)c1,410.48,4.77,0.0,7.0915149811213505
O=C(CN1CC2(CC2)c2cc(Br)ccc2C1=O)Nc1ncc(F)cn1,405.23,2.5,0.0,7.0915149811213505
CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CCC2)c1,429.5,5.57,1.0,7.075720713938118
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3sc(Cl)cc3n12,421.95,2.7,0.0,7.075720713938118
CC(C)n1cc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cn1,388.49,2.95,0.0,7.0655015487564325
CC(C)(O)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12,383.43,1.97,0.0,7.0655015487564325
CN1CCC[C@@H](NC(=O)Cn2nc(C(C)(C)O)n3c(cc4sc(Cl)cc43)c2=O)C1,437.95,1.8,0.0,7.045757490560675
CCSCc1csc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,463.65,4.5,0.0,7.031517051446065
Cc1cc(C(F)(F)F)cc(O)c1-c1ccc(Nc2cccnc2)nn1,346.31,4.32,0.0,7.026872146400302
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1ccsc1,388.51,3.85,0.0,7.017728766960431
O=C1Nc2c(ccc3c2CCC3)-c2ccnc(c2)OCCn2cc(F)c(n2)S(=O)(=O)N1,443.46,2.48,0.0,7.0
CC(C)c1c(F)c(F)cc2c1CC(=O)NS(=O)(=O)c1cnn(c1)C(C)(C)COc1cc-2ccn1,490.53,3.52,0.0,7.0
O=S1(=O)c2nnc([nH]2)Nc2c(ccc3c2CCC3)-c2ccnc(c2)OCCCN2CCC3(CC1C3)C2,506.63,3.51,1.0,7.0
CC(C)c1cc(F)c(F)c2c1CC(=O)NS(=O)(=O)c1cnn(c1)C(C)(C)COc1cc-2ccn1,490.53,3.52,0.0,7.0
CC(C)c1cc(NC(=O)NS(=O)(=O)C(c2cnn(C)c2)C2CCCN(C)C2)c(C(C)C)s1,481.69,4.26,0.0,7.0
CC(C)c1cc(F)cc2c1CC(=O)NS(=O)(=O)c1cnn(c1)C(C)(C)COc1cc-2ccn1,472.54,3.38,0.0,7.0
CCc1oc(C(C)C)cc1NC(=O)NS(=O)(=O)C(c1cnn(C)c1)C1CCCN(C)C1,451.59,3.23,0.0,7.0
CC(C)c1cc(F)cc2c1CC(=O)NS(=O)(=O)c1ccn(n1)C(C)(C)COc1cc-2ccn1,472.54,3.38,0.0,7.0
CCc1nn(CC(=O)Nc2ccncn2)c(=O)c2cc3sccc3n12,354.4,1.7,0.0,6.982966660701219
CC(C)c1nn(CC(=O)N[C@@H]2CCCNC2)c(=O)c2cc3sc(Cl)cc3n12,407.93,2.36,0.0,6.97061622231479
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(N2CCOCC2)c2nonc12,483.55,2.55,0.0,6.966576244513051
N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccncc1,381.46,3.1,0.0,6.958607314841775
CCOc1cc(C(=O)N(C)Cc2ccc(OCF)c3cn[nH]c23)ccc1-c1cccc(F)c1,451.47,5.35,1.0,6.94692155651658
O=C(Cn1nc(C2CC2)n2c(cc3sccc32)c1=O)Nc1cccnc1,365.42,2.62,0.0,6.939302159646388
CC(C)OC(=O)[C@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,409.49,3.57,0.0,6.920818753952375
CC(C)c1nn(CC(=O)Nc2ncc(F)cn2)c(=O)c2ccc(Br)cc12,420.24,2.85,0.0,6.91721462968355
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)/C=C/c1cncs1,389.5,3.24,0.0,6.899629454882437
CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OCC(F)F)c1,439.44,5.29,1.0,6.886056647693163
S=c1cc(CC2CCCCO2)[nH]c2nc(Nc3c4c(cc5c3CCC5)CCC4)nn12,421.57,4.62,0.0,6.886056647693163
