Molecular Weight,AlogP,#RO5 Violations,Action_Encoded,pIC50
439.56,4.4,0.0,0,6.0
348.45,3.71,0.0,0,6.0
441.55,3.46,0.0,1,6.0
547.63,2.29,1.0,1,6.0
463.58,6.01,1.0,0,6.0
391.54,2.6,0.0,1,6.0
411.53,4.08,0.0,0,6.0
453.52,2.22,0.0,0,6.0
385.49,2.51,0.0,0,6.0
483.55,2.89,0.0,1,6.0
393.53,4.51,0.0,0,6.0
383.52,4.17,0.0,0,6.0
467.53,3.46,0.0,0,6.0
365.48,3.5,0.0,0,6.0
441.55,3.85,0.0,1,6.0
377.37,3.28,0.0,0,6.0
412.52,3.61,0.0,0,6.0
468.51,2.86,0.0,0,6.0
467.53,3.46,0.0,0,6.0
133.17,-0.06,0.0,1,6.0
292.12,3.11,0.0,1,6.0
451.51,5.1,1.0,0,6.0
395.36,3.42,0.0,0,6.0
422.51,3.11,0.0,0,6.0
369.49,3.02,0.0,0,6.0
408.5,3.05,0.0,0,6.0
445.37,4.3,0.0,0,6.0
331.42,4.05,0.0,0,6.0
435.55,4.59,0.0,0,6.0
488.54,3.09,0.0,0,6.0
535.63,2.81,1.0,0,6.0
374.41,5.09,1.0,0,6.0
383.47,2.66,0.0,0,6.0
356.36,3.3,0.0,0,6.0
406.53,2.61,0.0,0,6.0
383.47,3.18,0.0,1,6.0
442.52,3.59,0.0,0,6.0
398.48,2.42,0.0,0,6.0
393.45,2.14,0.0,0,6.0
439.54,3.61,0.0,1,6.0
342.46,4.43,0.0,1,6.0
447.52,2.69,0.0,0,6.0
401.49,2.89,0.0,1,6.0
410.5,3.06,0.0,1,6.0
369.42,2.28,0.0,0,6.0
385.49,2.24,0.0,0,6.0
394.5,3.2,0.0,0,6.0
441.55,4.69,0.0,0,6.0
399.52,4.1,0.0,0,6.0
479.37,3.66,0.0,1,5.991399828238082
528.07,3.35,0.0,0,5.978810700930062
403.53,3.55,0.0,1,5.974284616098659
461.38,3.52,0.0,1,5.97061622231479
357.44,2.57,0.0,1,5.966576244513051
378.91,4.09,0.0,0,5.966576244513051
295.26,3.59,0.0,1,5.96537154337468
420.43,5.09,1.0,1,5.950781977329818
374.43,2.88,0.0,1,5.94692155651658
411.41,3.23,0.0,1,5.943095148663527
359.46,1.14,0.0,1,5.939302159646388
370.42,4.22,0.0,1,5.924453038607469
246.27,1.78,0.0,0,5.924453038607469
312.32,3.27,0.0,0,5.913640169325252
298.37,3.43,0.0,0,5.913640169325252
352.43,4.08,0.0,1,5.913640169325252
436.5,4.21,0.0,1,5.910094888560602
378.47,4.48,0.0,1,5.910094888560602
420.49,2.49,0.0,0,5.907279355315901
427.88,3.38,0.0,1,5.906578314837765
420.51,4.51,0.0,1,5.886056647693163
405.5,3.25,0.0,1,5.886056647693163
308.33,4.35,0.0,1,5.886056647693163
357.44,2.57,0.0,1,5.876148359032914
423.48,3.91,0.0,1,5.872895201635193
374.51,4.75,0.0,1,5.864231485432177
489.44,6.36,1.0,1,5.856985199745905
251.28,2.42,0.0,1,5.853871964321762
431.52,1.35,0.0,1,5.853871964321762
405.49,3.77,0.0,1,5.847711655616943
251.28,2.69,0.0,0,5.841637507904751
472.54,3.6,0.0,0,5.823908740944319
379.46,2.96,0.0,1,5.823908740944319
403.48,3.44,0.0,1,5.823908740944319
442.52,3.59,0.0,0,5.823908740944319
403.48,3.44,0.0,1,5.823908740944319
265.31,2.67,0.0,1,5.823908740944319
256.26,2.7,0.0,0,5.812479279163537
357.44,2.57,0.0,1,5.812479279163537
373.45,2.45,0.0,1,5.809668301829708
296.71,1.64,0.0,1,5.809668301829708
355.33,1.46,0.0,0,5.806875401645538
302.37,2.35,0.0,1,5.795880017344075
265.31,2.92,0.0,1,5.795880017344075
422.49,3.6,0.0,1,5.795880017344075
318.38,4.03,0.0,0,5.790484985457369
277.32,3.73,0.0,1,5.790216985151485
401.88,3.66,0.0,0,5.777283528852417
399.46,2.52,0.0,1,5.769551078621726
547.63,1.88,1.0,1,5.769551078621726
367.43,2.7,0.0,1,5.764471553092451
330.42,3.73,0.0,1,5.7544873321858505
529.33,5.65,2.0,1,5.752026733638194
387.86,4.12,0.0,1,5.749579997691106
358.46,4.14,0.0,1,5.749579997691106
274.32,1.6,0.0,0,5.749579997691106
380.91,4.56,0.0,1,5.749579997691106
421.42,4.49,0.0,1,5.747146969020107
397.48,3.73,0.0,1,5.7447274948966935
316.4,2.74,0.0,1,5.7447274948966935
288.35,1.96,0.0,1,5.7447274948966935
378.43,3.17,0.0,1,5.7447274948966935
248.32,2.76,0.0,1,5.7447274948966935
401.47,2.46,0.0,1,5.7447274948966935
333.34,1.48,0.0,0,5.739928612014925
420.49,1.97,0.0,0,5.738023808602187
352.86,3.78,0.0,1,5.73754891026957
353.42,3.47,0.0,1,5.732828271596986
268.66,1.17,0.0,1,5.732828271596986
491.41,3.53,0.0,1,5.72584215073632
317.68,3.73,0.0,0,5.723538195826756
426.89,3.98,0.0,1,5.723538195826756
366.38,0.97,0.0,1,5.721246399047171
325.35,1.74,0.0,1,5.721246399047171
431.95,4.97,0.0,1,5.721246399047171
259.21,2.08,0.0,1,5.721246399047171
371.41,3.61,0.0,1,5.714442690992226
416.52,5.16,1.0,1,5.714442690992226
420.49,2.49,0.0,0,5.705313375720556
394.47,3.28,0.0,1,5.698970004336019
401.47,2.46,0.0,1,5.698970004336019
346.47,4.34,0.0,1,5.698970004336019
460.51,4.4,0.0,0,5.698970004336019
332.24,4.2,0.0,0,5.684029654543083
561.66,2.68,1.0,1,5.657577319177793
269.34,3.53,0.0,1,5.656000930942839
280.37,2.71,0.0,0,5.653647025549361
319.39,2.08,0.0,0,5.649751981665837
427.88,3.38,0.0,1,5.649751981665837
395.43,5.12,1.0,1,5.638272163982407
561.66,2.27,1.0,1,5.638272163982407
374.52,5.12,1.0,1,5.636388020107856
374.47,2.22,0.0,1,5.636388020107856
311.26,3.47,0.0,1,5.634886568372423
333.41,2.39,0.0,0,5.632644078973981
526.62,1.82,1.0,1,5.623423042943488
362.14,2.97,0.0,0,5.621602099051862
459.57,1.94,0.0,1,5.619788758288394
422.49,3.6,0.0,1,5.619788758288394
284.31,3.09,0.0,1,5.619788758288394
423.44,4.81,0.0,0,5.619788758288394
405.97,6.56,1.0,0,5.617982957425132
433.92,3.81,0.0,1,5.617982957425132
329.38,1.82,0.0,0,5.616184634019569
492.54,4.71,0.0,0,5.61261017366127
394.47,3.28,0.0,1,5.6020599913279625
346.47,4.2,0.0,1,5.600326278518962
360.44,1.91,0.0,1,5.5934598195660445
507.56,4.38,1.0,0,5.590066876668706
374.47,2.22,0.0,1,5.590066876668706
246.35,3.43,0.0,0,5.586700235918748
290.35,1.02,0.0,1,5.581698708680254
419.44,4.67,0.0,1,5.576754126063192
340.69,3.97,0.0,0,5.573488738635425
491.56,4.5,0.0,0,5.570247719997592
317.69,2.86,0.0,0,5.568636235841013
394.47,3.28,0.0,1,5.568636235841013
321.3,4.0,0.0,0,5.5638373529592435
478.52,4.58,0.0,0,5.562249437179612
316.36,1.75,0.0,1,5.552841968657781
431.93,4.38,0.0,1,5.552841968657781
